epoch,pde_loss,l2_error,learning_rate
86,9043.6943359375,0.08705517649650574,0.0002
87,8952.1533203125,0.0870361328125,0.0002
88,8865.12109375,0.08702719956636429,0.0002
89,8781.2734375,0.08701647073030472,0.0002
90,8697.0087890625,0.0870039090514183,0.0002
91,8621.4970703125,0.08698119968175888,0.0002
92,8546.34765625,0.08695252239704132,0.0002
93,8471.3798828125,0.08693037182092667,0.0002
94,8403.0244140625,0.08691374212503433,0.0002
95,8333.6318359375,0.08688658475875854,0.0002
96,8262.7412109375,0.08686327934265137,0.0002
97,8194.4951171875,0.08683951199054718,0.0002
98,8128.462890625,0.0868036076426506,0.0002
99,8065.76953125,0.08675958961248398,0.0002
100,8002.09912109375,0.08672139048576355,0.0002
101,7941.63720703125,0.08670326322317123,0.0002
102,7879.62353515625,0.08669248968362808,0.0002
103,7825.3291015625,0.08663398772478104,0.0002
104,7763.361328125,0.08656572550535202,0.0002
105,7708.8681640625,0.08651641011238098,0.0002
106,7654.0126953125,0.08646443486213684,0.0002
107,7602.72216796875,0.08641593903303146,0.0002
108,7545.0224609375,0.0863693580031395,0.0002
109,7491.62939453125,0.08632442355155945,0.0002
110,7443.12890625,0.08628549426794052,0.0002
111,7394.181640625,0.0862179547548294,0.0002
112,7339.15478515625,0.08615684509277344,0.0002
113,7290.98974609375,0.08612239360809326,0.0002
114,7243.20458984375,0.08607979118824005,0.0002
115,7191.3857421875,0.08603603392839432,0.0002
116,7143.900390625,0.08598939329385757,0.0002
117,7098.7939453125,0.08591695129871368,0.0002
118,7055.3525390625,0.08585765957832336,0.0002
119,7008.87353515625,0.08581111580133438,0.0002
120,6962.32275390625,0.0857509896159172,0.0002
121,6920.28857421875,0.08567261695861816,0.0002
122,6876.5849609375,0.0855795294046402,0.0002
123,6838.14990234375,0.0855313315987587,0.0002
124,6794.29296875,0.08548048138618469,0.0002
125,6754.2626953125,0.0854034572839737,0.0002
126,6715.87939453125,0.08533874899148941,0.0002
127,6676.9619140625,0.08526285737752914,0.0002
128,6636.66552734375,0.08519777655601501,0.0002
129,6600.47802734375,0.08511782437562943,0.0002
130,6563.19189453125,0.08503549546003342,0.0002
131,6527.23876953125,0.08497896790504456,0.0002
132,6491.33837890625,0.08492238074541092,0.0002
133,6453.9599609375,0.08485139161348343,0.0002
134,6418.251953125,0.08476230502128601,0.0002
